,date,sku,group,name,quantity,unit_cogs,agg_cogs,unit_revenue,gross_margin,sunrise,sunset,HeatIndexC,cloudcover,humidity,tempC,Avgtemp
86,2018-01-01,55,ART._HYGIENIC,BELLA PODPASKI NORMAL MAXI 10,4.0,"2,14",8.56,3.23,33.75,08:52 AM,04:31 PM,6,79,89,8,5.5
87,2018-01-01,54,ART._HYGIENIC,BELLA PODPASKI NOVA MAXI 10,1.0,"2,66",2.66,1.85,-43.78,08:52 AM,04:31 PM,6,79,89,8,5.5
88,2018-01-01,2155,ART._HYGIENIC,BELLA PODPASKI PERF.BLUE 10,1.0,"2,85",2.85,4.53,37.09,08:52 AM,04:31 PM,6,79,89,8,5.5
89,2018-01-01,3913,GENERAL,BERLISO 180 G +20 G CZEKOL,6.0,"1,21",7.26,1.75,30.86,08:52 AM,04:31 PM,6,79,89,8,5.5
90,2018-01-01,3914,GENERAL,BERLISO 180 G+20G TRUSKA,17.0,"1,53",25.97,1.53,0.23,08:52 AM,04:31 PM,6,79,89,8,5.5
91,2018-01-01,5333,CHEMISTRY,BIALY JELEN SZAMPON 300 ML,1.0,"4,99",4.99,6.66,25.08,08:52 AM,04:31 PM,6,79,89,8,5.5
92,2018-01-01,6703,ARTICLE_OF_HOUSEHOLD,BIBULA KOLOR,2.0,"0,75",1.5,1.08,30.56,08:52 AM,04:31 PM,6,79,89,8,5.5
93,2018-01-01,7512,COFFEE TEA,BISZKOPTY 120 G MLYNY POLSKIE,2.0,"3,25",6.5,4.17,22.06,08:52 AM,04:31 PM,6,79,89,8,5.5
94,2018-01-01,3471,SWEETS,BISZKOPTY WROCLAWSKIE 120G,3.0,"1,68",5.04,2.56,34.38,08:52 AM,04:31 PM,6,79,89,8,5.5
95,2018-01-01,1835,CIGARETTES,BLOK RYSUNKOWY KOLOR,1.0,"1,22",1.22,1.97,38.07,08:52 AM,04:31 PM,6,79,89,8,5.5
96,2018-01-01,5811,OCCASIONAL,BLOK TECHNICZNY A4,1.0,"0,84",0.84,1.29,34.88,08:52 AM,04:31 PM,6,79,89,8,5.5
97,2018-01-01,18282,CHEMISTRY,BLOK TECHNICZNY KOLOR,3.0,"1,24",3.72,2.0,38.0,08:52 AM,04:31 PM,6,79,89,8,5.5
98,2018-01-01,15115,DISHES_FOR_CHILDREN,BOBOVITA KASZKA MLECZ/RYZ TRUSKAWKI,1.0,"6,93",6.93,9.5,27.05,08:52 AM,04:31 PM,6,79,89,8,5.5
99,2018-01-01,2432,SWEETS,BOMB MERCI 250G,2.0,"9,85",19.7,13.81,28.67,08:52 AM,04:31 PM,6,79,89,8,5.5
100,2018-01-01,17380,SWEETS,BOMB MERCI GREEN 250 G,1.0,"9,85",9.85,13.81,28.67,08:52 AM,04:31 PM,6,79,89,8,5.5
101,2018-01-01,8560,SWEETS,BOMB MON CHERI 157_5 G,1.0,"9,85",9.85,13.14,25.04,08:52 AM,04:31 PM,6,79,89,8,5.5
102,2018-01-01,6067,SWEETS,BOMB TOFFIFEE 250 G,1.0,"10,87",10.87,15.44,29.6,08:52 AM,04:31 PM,6,79,89,8,5.5
103,2018-01-01,5603,SWEETS,BOMB.FIORELLA 140G,4.0,"3,78",15.12,6.5,41.85,08:52 AM,04:31 PM,6,79,89,8,5.5
104,2018-01-01,8021,SWEETS,BOMBONIERA GALARE.W CZEKOL WISNIA 190 G,2.0,"4,18",8.36,5.63,25.75,08:52 AM,04:31 PM,6,79,89,8,5.5
105,2018-01-01,1548,SWEETS,BOMBONIERA GALARETKA W CZEK 190 G,1.0,"3,05",3.05,4.43,31.15,08:52 AM,04:31 PM,6,79,89,8,5.5
106,2018-01-01,1550,COOKIES_BULK,BOMBONIERA GALARETKS POM.190 G W CZEK,1.0,"4,18",4.18,5.63,25.75,08:52 AM,04:31 PM,6,79,89,8,5.5
